EnnyDorky123,1,,6,train,160696344,160696344,0
strybe,1,,28,train,160696344,160696344,1610142620
georginaisback,2,,14,train,160696344,160696344,805071310
sugigrl,2,,8,train,160696344,160696344,0
airasheene,3,,4,train,160696344,160696344,0
jojowebb,3,,4,train,160696344,160696344,0
songbyrd07,4,,4,train,160696344,160696344,0
jeaneMAKEUP,4,,6,train,160696344,160696344,0
patriciaxo,5,,22,train,160696344,160696344,805071310
mrdththomason,5,,3,train,160696344,160696344,0
lizamsk,6,,5,train,160696344,160696344,0
MADPuGGer,6,,5,train,160696344,160696344,0
NoOrdinaryGurl,7,,8,train,160696344,160696344,0
scienceoflove,7,,4,train,160696344,160696344,0
Jayrod2089,8,,3,train,160696344,160696344,0
emeraldashlee,8,,20,train,160696344,160696344,805071310
nenetcurry,9,,3,train,160696344,160696344,0
jerin60,9,,5,train,160696344,160696344,0
miishaleanne,10,,3,train,160696344,160696344,0
bethasaurr,10,,20,train,160696344,160696344,805071310
